total_errors,generated_rate,uncorrectables,fails_bit
3182413.0,6.00596e-12,131463,1.95629e-05
3172995.0,5.99228e-12,130521,1.94228e-05
3178806.0,5.99819e-12,130899,1.9479e-05
3180249.0,6.00084e-12,131376,1.955e-05
3180704.0,6.00291e-12,131357,1.95472e-05
3184903.0,6.01202e-12,131290,1.95372e-05
3178644.0,5.99954e-12,130940,1.94851e-05
3180512.0,5.99989e-12,131530,1.95729e-05
3176158.0,5.99827e-12,130404,1.94054e-05
3182856.0,6.00692e-12,131399,1.95534e-05
3183649.0,6.00914e-12,131444,1.95601e-05
3178124.0,5.99656e-12,131095,1.95082e-05
3177107.0,5.99788e-12,130904,1.94798e-05
3182557.0,6.00674e-12,131329,1.9543e-05
3176658.0,5.99756e-12,130540,1.94256e-05
3181827.0,6.00573e-12,131188,1.9522e-05
3179542.0,6.00199e-12,131139,1.95147e-05
3176034.0,5.99424e-12,131432,1.95583e-05
3176578.0,5.99503e-12,131059,1.95028e-05
3179389.0,5.999e-12,131930,1.96324e-05
3179035.0,6.00042e-12,131298,1.95384e-05
3177949.0,5.9992e-12,130905,1.94799e-05
3178996.0,5.99763e-12,131739,1.9604e-05
3180438.0,6.00012e-12,131656,1.95917e-05
3179617.0,6.00141e-12,131274,1.95348e-05
3178198.0,5.99983e-12,131340,1.95446e-05
3175476.0,5.99496e-12,130479,1.94165e-05
3182193.0,6.00559e-12,131462,1.95628e-05
3177003.0,5.99963e-12,130654,1.94426e-05
3178240.0,6.00235e-12,130391,1.94034e-05
3181817.0,6.00415e-12,131222,1.95271e-05
3181877.0,6.00197e-12,132053,1.96507e-05
3181855.0,6.00524e-12,131286,1.95366e-05
3179209.0,6.00084e-12,131062,1.95033e-05
3184007.0,6.00922e-12,131531,1.95731e-05
3179017.0,6.00167e-12,130915,1.94814e-05
3175084.0,5.99245e-12,130697,1.9449e-05
3178417.0,5.99661e-12,131557,1.95769e-05
3180765.0,6.0028e-12,131329,1.9543e-05
3179471.0,6.00294e-12,130449,1.94121e-05
3178556.0,6.00116e-12,130751,1.9457e-05
3179200.0,5.99929e-12,131791,1.96118e-05
3177999.0,5.99996e-12,130862,1.94735e-05
3181231.0,6.00568e-12,130995,1.94933e-05
3177008.0,5.99757e-12,130813,1.94662e-05
3177481.0,5.99984e-12,130150,1.93676e-05
3179214.0,5.99947e-12,131441,1.95597e-05
3178421.0,6.0014e-12,131016,1.94964e-05
