total_errors,generated_rate,uncorrectables,fails_bit
31693980.0,5.98239e-12,25678,3.82113e-07
31696378.0,5.98292e-12,25720,3.82738e-07
31694347.0,5.98219e-12,25892,3.85298e-07
31694569.0,5.98233e-12,25724,3.82798e-07
31698284.0,5.98280e-12,25959,3.86295e-07
31706213.0,5.98398e-12,25984,3.86667e-07
31698263.0,5.98172e-12,25697,3.82396e-07
31698336.0,5.98316e-12,25691,3.82307e-07
31689170.0,5.98135e-12,25514,3.79673e-07
31697031.0,5.98295e-12,25829,3.84360e-07
31710334.0,5.98491e-12,25746,3.83125e-07
31695449.0,5.98285e-12,25483,3.79211e-07
31701718.0,5.98361e-12,25785,3.83705e-07
31704780.0,5.98403e-12,26020,3.87202e-07
31693517.0,5.98223e-12,25760,3.83333e-07
31699007.0,5.98262e-12,25957,3.86265e-07
31702217.0,5.98381e-12,25882,3.85149e-07
31698979.0,5.98370e-12,25737,3.82991e-07
31712807.0,5.98602e-12,25804,3.83988e-07
31691559.0,5.98167e-12,25914,3.85625e-07
31715697.0,5.98514e-12,25661,3.81860e-07
31698340.0,5.98343e-12,25980,3.86607e-07
31705734.0,5.98379e-12,25797,3.83884e-07
31703649.0,5.98406e-12,25680,3.82143e-07
31705529.0,5.98327e-12,25802,3.83958e-07
31690821.0,5.98160e-12,25935,3.85938e-07
31694035.0,5.98196e-12,25797,3.83884e-07
31690395.0,5.98226e-12,25581,3.80670e-07
31705731.0,5.98448e-12,26123,3.88735e-07
31708813.0,5.98506e-12,25930,3.85863e-07
31695628.0,5.98317e-12,25846,3.84613e-07
31708868.0,5.98532e-12,25645,3.81622e-07
31702574.0,5.98367e-12,25871,3.84985e-07
31703663.0,5.98385e-12,26090,3.88244e-07
