total_errors,generated_rate,uncorrectables,fails_bit
3182321.0,6.00685e-12,130837,1.94698e-05
3178058.0,5.99643e-12,130971,1.94897e-05
3175606.0,5.99382e-12,130838,1.94699e-05
3177469.0,5.99661e-12,130479,1.94165e-05
3179185.0,6.00073e-12,131376,1.95500e-05
3177841.0,5.99471e-12,131911,1.96296e-05
3181272.0,6.00606e-12,130706,1.94503e-05
3179134.0,6.00098e-12,130847,1.94713e-05
3180218.0,6.00229e-12,131320,1.95417e-05
3176123.0,5.99526e-12,130502,1.94199e-05
3178345.0,6.00140e-12,130258,1.93836e-05
3182053.0,6.00460e-12,131455,1.95618e-05
3178775.0,5.99709e-12,131639,1.95891e-05
3179271.0,6.00341e-12,130850,1.94717e-05
3179846.0,6.00112e-12,130954,1.94872e-05
3182967.0,6.00745e-12,131106,1.95098e-05
3180902.0,6.00401e-12,131027,1.94981e-05
3180432.0,6.00474e-12,130895,1.94784e-05
3178945.0,6.00107e-12,130994,1.94932e-05
3180323.0,6.00318e-12,131292,1.95375e-05
3179968.0,6.00075e-12,131319,1.95415e-05
3177329.0,5.99630e-12,131106,1.95098e-05
3177478.0,5.99732e-12,131430,1.95580e-05
3180161.0,6.00199e-12,131205,1.95246e-05
3179306.0,5.99810e-12,131376,1.95500e-05
3178042.0,5.99901e-12,130985,1.94918e-05
3177686.0,5.99633e-12,131215,1.95260e-05
3180463.0,6.00145e-12,131175,1.95201e-05
3178091.0,5.99904e-12,131135,1.95141e-05
3180029.0,6.00161e-12,131799,1.96129e-05
3176667.0,5.99737e-12,131057,1.95025e-05
3177760.0,5.99874e-12,131018,1.94967e-05
3180659.0,6.00386e-12,130952,1.94869e-05
3178228.0,5.99562e-12,131428,1.95577e-05
3177856.0,5.99662e-12,131031,1.94987e-05
3180110.0,6.00171e-12,131063,1.95034e-05
3180661.0,6.00089e-12,131324,1.95423e-05
3181668.0,6.00207e-12,131525,1.95722e-05
3177977.0,5.99797e-12,131190,1.95223e-05
3180746.0,6.00377e-12,131510,1.95699e-05
3177583.0,5.99808e-12,130764,1.94589e-05
3180387.0,6.00236e-12,130763,1.94588e-05
3183708.0,6.00594e-12,131924,1.96315e-05
